,protein,RYGB,SHAM
907,Gdi1,"[303473.18535315705 282124.63040139974 237896.2437331154 236004.9537263108
 205.36 229916.46881288706]","[168247.27725085436 211956.33378576525 331285.72108045546
 272042.08041840116 270405.4551663087 178356.652104175]"
908,Tomm40,"[205.36 41108.1599205658 56571.84963353557 74527.35994626614
 41928.444933960316 205.36]","[205.36 205.36 205.36 45500.654370807264 59317.374519822515
 45820.83201719374]"
909,Galm,"[558769.1512884478 403931.877528677 521755.0562827939 516935.354794955
 263871.66501803655 500981.8907068599]","[573230.0586127426 532011.717735705 687748.5135255182 490907.5706992544
 546997.1308932034 477051.21766565635]"
910,Eci2,"[368150.21702367754 528116.6929961424 1004766.8554703034 854741.4404347063
 905498.9564611715 963523.7065933963]","[997356.5716855666 740597.1186124892 318575.7929690909 366463.0073614261
 913661.3472081658 937700.7595607856]"
911,Slc25a15,"[576823.3025725249 525165.1937179085 347074.60769001034 405368.9888285823
 555774.1220900852 528621.6783289042]","[345083.0897693342 494518.10204717255 550248.5300199989 536746.7717826564
 314497.5497689441 403401.34350073786]"
912,Hal,"[696531.6007478292 559719.6285988608 731808.8254178867 744681.1432519865
 799740.9550044385 777323.4210175225]","[554885.8075025224 585529.1925473154 826110.6623171826 600812.3760286502
 758784.0654996102 645753.7401685822]"
913,Shpk,[113818.49685279174 77525.62497894 205.36 205.36 205.36 92506.31507044833],"[205.36 82128.72477249031 102357.80887589834 67047.76262118014 205.36
 78577.83770471429]"
914,0,"[205.36 205.36 77555.45606180376 72017.53560584903 70661.91539194048
 69178.85114059481]","[205.36 49115.10097566995 96308.91077547849 70064.7334487773
 68486.36778436806 59698.53860772182]"
915,Aox3,[80412.47999930961 205.36 205.36 205.36 205.36 205.36],[205.36 205.36 108505.89227483278 82313.82301365744 205.36 205.36]
916,Lrrc59,"[166209.37340728813 125838.26897450852 298313.92347203154 350491.053824274
 266269.12108212855 343188.4424205361]","[270695.29971848964 233259.40251565404 351600.4994121863
 145919.43234451604 300087.4987947011 275450.95129031636]"
917,LOC100361060,"[145998.62387520878 102376.83375751933 205.36 81250.79713278911
 101102.57000977437 73626.4807314604]","[205.36 71064.4044192162 113400.69285289332 128303.74475644066
 79872.23101577476 12527.615710721228]"
918,Sfxn1,"[291541.67919292935 598675.7046261242 722384.0713877912 658285.158825137
 572951.6980610519 551955.5691487865]","[695948.6910069567 585040.3905719343 501847.0020509146 748760.139636246
 597968.281093458 552487.2017152874]"
919,Etfb,"[3891769.52897626 5042295.544435613 6518946.203966546 6577979.097640945
 5382347.710397828 6681618.975893164]","[5199442.117964924 6752001.392834442 4462377.733107239 4984565.853888745
 5857474.645675127 5408093.375372189]"
920,Apoa1,"[1833225.2291842238 1112006.708917862 1181172.324061321 3027615.003579985
 921289.2123164309 1342477.3705647718]","[1035921.8858504517 1370880.5843340931 1598997.0655633286
 774119.0426116082 2195728.1364027564 1196121.286835769]"
921,Rpl7,"[616521.1955174863 626202.7067070775 456121.486693466 501322.5405447909
 527284.3036942848 656361.3688415425]","[400388.7557010833 583156.1303192325 489411.3978786586 594186.9925183865
 435610.32711204246 494579.32419806573]"
922,Mug1,"[879118.2720383372 893721.4083531147 1264458.9012370184 1117354.6241963012
 804459.6401633198 1006293.4494569444]","[895681.228132659 1027601.2415809297 593059.9689501951 1256799.1676516698
 889206.3983154091 947239.2933371187]"
923,Psma3,"[96103.3497234585 165643.6058458806 64517.166350375905 164923.64965904807
 122319.6119662011 154723.1980046799]","[183755.86621222392 151302.08653387218 175046.2114924604
 142818.09021325485 156124.74348508922 114834.24117467225]"
924,Cyp2c13,"[496817.1621367116 185626.34723569197 96092.96751853505 152515.78524395518
 116252.38207827449 155437.3893576258]","[213510.7742485228 128158.75469362907 586447.8676960676 227581.53062458284
 114837.88904504172 127802.39711771175]"
925,Eno1,"[11873595.18659341 11409763.099911246 11600829.547955694
 11407863.382560072 10757654.698250307 9318740.503106948]","[11421570.687490951 10055745.739802668 12419751.074242733
 11308177.580579923 9762273.704081492 7722029.540837945]"
926,Vcl,"[372641.1345205322 587309.881993864 269472.9571079836 306280.6817448649
 289495.8558689749 371524.66525779566]","[473101.1921741946 310203.3411228796 69422.21926785875 453154.2610856794
 307455.66934796365 550253.9478862964]"
927,Pklr,"[3469180.9688780173 2472187.9928080607 1539974.0377608708
 1916545.315926328 2808600.0021117046 1147063.6212780527]","[2205708.6254810044 2203300.8682658384 2903195.9572508577
 2551316.401572864 1825502.8082897933 1840029.194953935]"
928,Slc25a13,"[5167670.630811198 4678465.312923604 5649975.200953048 3674859.443863104
 5015303.670962927 5993670.079242272]","[5255293.787625898 5241369.7940026885 3494348.830809029 4562197.181060884
 4953843.551483884 4888381.522480864]"
929,Sult1c3,"[2015199.363899815 1728019.9437079811 2091793.776056887 1516417.8452628893
 1813277.5402013233 1901484.4607764652]","[1452788.7062430736 1536944.9902764508 2282652.3709050696
 1294426.037475193 1885271.104323275 1798403.759887187]"
930,Cct7,"[515724.52903342334 349301.2608632648 59643.88958606799 284036.58453344804
 255483.839115278 251322.9853645242]","[276525.6371333019 415299.3705899095 651502.0431837447 477704.91052762285
 301496.29460069403 237251.747954073]"
931,Eif4a1,"[133469.88576359273 392172.15007927833 211068.2270198492
 325458.19531123294 297699.1985533096 410488.1406999816]","[228025.01785410073 252105.32052622855 150795.21626102674
 122214.7338733419 264355.7341209912 186332.7741443552]"
932,Pnp,"[9248383.03395784 7554549.867784786 5097902.0698913 6090455.916205789
 5372035.934144077 6393086.407232008]","[7350029.599288833 5866469.127937354 8545932.345283255 7646334.251091275
 6085597.971734456 5793755.518283068]"
933,Ctnna1,[205.36 205.36 205.36 205.36 205.36 34577.57824736323],"[56863.43862302789 205.36 56726.00767377806 28706.292404026724 205.36
 48497.84178164719]"
934,LOC681718,"[152730.7249052423 265973.75125630613 242981.53549214438
 378178.62385793787 249732.69488997725 331840.56983593025]","[317316.0041681858 259752.43954535006 93541.36636809492 131716.90181718834
 270165.6966792408 309217.2032609397]"
935,H6pd,"[498101.31926513766 508727.58740843256 736530.2179227838 541175.9066182689
 445547.8497956431 714792.5978386957]","[368011.773476673 414196.1238695826 611719.2747588258 426186.070782352
 483417.43704057374 606097.3075973764]"
936,Copa,"[225912.45480861433 213412.59124650524 63458.82630042077 94459.2148438564
 81161.65006824018 91195.16356412921]","[115544.94464118255 127102.878828243 258521.20256358472 131629.34433036062
 145893.7731403756 128526.97384288709]"
937,Dld,"[2549566.686259049 3012551.7017092993 2428836.5839429046 3004387.280119909
 2620125.740880385 3084425.952754332]","[2576568.821459544 2843299.3702916433 2813756.485447172 2476821.8848408703
 2644700.630071552 2526912.263787544]"
938,Sptan1,"[1002397.4522923952 1078655.9051537479 259995.3275777891 741157.1278526158
 690767.7718856198 823137.1284546042]","[634223.1326998224 650450.2826216083 1186526.3995013146 1001533.9798952693
 698291.5230700155 484995.3318332793]"
939,Pdia4,"[1986336.349907667 1723430.5527693955 1921070.063467963 1540571.799844322
 1523292.2316966313 1673177.0803135417]","[1503842.647812704 1386204.737787891 1998041.5893683946 1898704.9282970354
 1534703.0246353783 1460335.087183731]"
940,Atp5h,"[1524747.051018356 1445132.2329791314 1620399.629122762 1366859.9763501773
 1464150.208990172 1399649.5011841482]","[1459129.4300047609 1303698.4586999381 1752009.3368625143
 1250164.6409242633 1443973.8092344014 975287.0780530279]"
941,Stt3a,"[205.36 3599.2235525375495 211099.69431167084 253928.1159392291
 330755.22963208234 271201.9152765649]","[197601.80601019954 157023.12474020076 3603.282391684522
 141154.55488824483 102886.15839517662 183962.948675567]"
942,Rpl18a,"[430381.6214984959 326560.4605433408 279992.95841445605 306999.2170918918
 308265.59691655415 376135.7028297655]","[251758.47311563752 399291.5347292764 392326.30763563135 323898.2640267902
 206706.8428288123 327443.87614226004]"
943,Vapa,"[262645.13027861586 207537.5037141665 261853.7509255089 298270.8712894651
 276313.60937365756 306415.07923877926]","[233157.8293332904 270898.90970587457 253376.63779855476 308672.3937112379
 170982.96351103007 267636.598333509]"
944,LOC100360057,"[363473.59633645485 302216.27822361747 272599.191220918 361232.5766257433
 292789.41198846925 338236.24695266044]","[244105.86034586726 258983.18245575 334191.9790129356 293591.5993040269
 276702.8033880843 333703.0514099]"
945,Dhcr7,[205.36 331430.13652553206 205.36 205.36 205.36 94876.16845513535],"[250080.41419648434 65913.932889584 20956.653079530697 205.36
 147951.46870282988 179709.11976898258]"
946,Atad3,"[177825.11053437545 127592.42578275506 52127.61417220881 69854.33309987086
 68410.98849134192 66634.47321895226]","[69743.32407558826 65062.633744678285 217453.29775711242 88343.52832165679
 76917.2716575825 61310.332666548]"
947,Psmc5,"[132732.83205280412 241667.15061258114 40056.50868867469
 141993.44273938565 53504.895906963065 65052.93639979152]","[104430.8490079226 112906.19618136005 149725.073612666 275331.13704008027
 36476.049554923535 104996.88920986223]"
948,Dlat,"[289569.47546504415 405636.2272870664 361139.4360433273 386359.46655342024
 302439.34340077726 296306.25898601196]","[276673.00477739284 377277.751407182 374002.37679712713 360610.10057844355
 329560.69616836816 234691.3363548714]"
949,A1m,"[4144583.557006915 2473907.7259461056 2584951.157055052 4758625.75046418
 3146369.709891557 5273088.263040932]","[2021614.8995623947 2668305.837706083 3818157.552414528 2813699.6222722214
 3407542.733211941 2826542.9866107716]"
950,Rtn3,[11879.513364047029 205.36 205.36 205.36 12231.73320752293 205.36],[205.36 205.36 205.36 8835.909363786306 6884.008970209403 205.36]
951,Hbb,"[62714249.16382572 43602184.03071673 72890580.51623267 92170358.20145516
 81663862.59527798 47395813.91271203]","[64228350.41640899 62848004.91963184 49752623.38388078 44528326.456576034
 89920104.04730177 94298190.8265853]"
952,Pcbd1,"[205.36 934672.4254487526 812007.6663077874 831379.3450848288
 739228.3166030198 991277.1281113746]","[849407.5903164409 717314.7884914969 205.36 888565.2857525036
 885838.5925602305 993591.1171118384]"
953,Faah,"[293235.8436997605 220829.1788735861 173841.5324952262 269100.34992062795
 241439.97661025703 125590.56488102078]","[357555.7951294081 114298.61185302319 410453.9054389768 316823.9213810909
 173675.5257607696 424819.11994260363]"
954,Cyb5b,"[503252.1289737348 348878.11622047663 120628.61485747596
 188622.54314629678 184383.52217253242 215251.49916215823]","[52700.50461354512 71356.13439094597 136480.3272866445 418591.92493261193
 76992.35157957331 73477.03915817165]"
955,Ssr1,"[91834.38343126568 66515.94909579316 205.36 205.36 205.36
 26731.660405558578]","[205.36 26323.392366993576 85982.98358709613 58711.56163976655 205.36
 29100.95432897461]"
956,Ppp2r1a,"[433894.83583693544 638347.1561081739 368623.7710294342 534719.3586184161
 395391.6074658786 536720.8450145704]","[479872.7401043446 453632.75460679684 630042.3141321092 596148.0705143872
 536090.3905890629 478792.667405977]"
957,Rpsa,"[3964522.4914571648 4272972.666392103 3711297.371944051 4561835.101278242
 3712257.879386858 4500260.726456403]","[3739049.301107175 3904949.0807174635 4773696.529724746 3381761.4275910556
 3868753.1042544018 3979353.5079426332]"
958,Ctnnb1,"[113354.24276792146 101212.34397690973 46311.08329563893 39681.59978074741
 18392.85295668797 23314.384828180777]","[25993.12564320837 116832.99275185759 205.36 151045.02142325038
 76306.75812230869 205.36]"
959,Lmnb1,"[9933.363018438502 10193.283714343548 205.36 12110.962939807096 205.36
 205.36]","[5613.62873199734 17077.421687643367 205.36 28097.252436297673 205.36
 43572.37551499041]"
960,Emc1,"[59085.87203189502 39778.133230699656 27294.119657485113 37869.86044467042
 26522.24424537221 57679.95101057733]","[35218.79887148067 51842.8293111667 57167.151027469365 30781.209810356213
 65875.47106334571 36790.44526155406]"
961,Gstz1,"[2508189.7716806424 2106493.7618728704 2383157.6501482 1663616.8163127531
 2546751.631591605 1777253.1326093518]","[2388730.7321282662 2347157.16192278 3076117.017985713 2157037.1749301464
 3050578.034421329 2269851.7394705354]"
962,Tpd52l2,[205.36 23530.134852073123 205.36 205.36 205.36 205.36],"[38276.392471417574 19064.574669043162 205.36 24712.527028008168 205.36
 25999.426056855074]"
963,Aldh16a1,"[172921.7864895764 117326.01877634235 44697.52386510583 88755.25777414205
 79347.37525426038 83986.7495588149]","[84707.43096982336 71481.25816911698 167006.43009884792 99710.35029378018
 90945.50532947469 77101.96412226543]"
964,Ppp1ca,"[115610.23421667154 138096.77998394036 99400.716525467 105776.55104833575
 89368.1021772628 100083.9810340206]","[137325.29801054634 86657.54057637032 149133.22118006353
 119814.95189376807 38893.95824247813 111563.69687387093]"
965,Nars,"[404625.52133798524 323315.2521030739 235524.1714472137 169020.9937567183
 166104.9895280907 169371.7041732126]","[157890.80431935168 155875.44006937777 414719.1928206562 276482.7336846543
 130725.23859288628 150242.48552868434]"
966,Cpt1a,"[1021966.342422165 863366.4560022764 624096.1877677066 794585.1401083693
 633538.5248720605 581291.4872797014]","[692313.2174467756 632645.5372425333 1101130.9962194352 617717.9544142537
 895479.1656882351 815640.9964381807]"
967,Plg,"[90349.26610961277 111035.08239589808 67135.27315492713 50908.41073929152
 37685.665008053365 114199.48483397892]","[33741.65389438606 113816.54739151098 109353.48815678888
 108139.93926478579 57592.74312359174 120372.98071532343]"
968,Pls3,"[470995.4725656646 750522.7580608616 670117.8762946525 609102.9024182642
 700345.7322580914 870098.8874285865]","[519534.64832175185 834688.2943284042 587709.9765260356 730759.3823844253
 577653.2088670891 799634.9015288514]"
969,Ndufa10,"[259841.6180471339 290907.3777349124 205.36 130259.90346193861
 235920.95176568555 192953.7231630292]","[107129.43912975234 150807.51272966678 186568.50658880625
 118043.34063073016 265921.6024357826 136021.0227800867]"
970,Pccb,[205.36 205.36 205.36 51372.56605801055 51396.28222930206 205.36],"[205.36 44042.050419572 48237.127206821075 27729.450685053474
 54270.97968499044 205.36]"
971,Gsto1,"[320058.7018720579 693737.5327905414 499448.1756163348 529090.1703420099
 559071.6988735606 553945.294858408]","[540730.1524185467 528799.4184218389 323321.72254444443 644869.810922313
 584426.7660673773 514867.64480806136]"
972,Hnrnpab,"[457239.79822030396 325534.22323229915 198104.3774364326
 327963.55463856045 259096.77499606152 251766.8005981127]","[271904.0013649163 273630.89545309136 462542.2894191343 324409.01444051246
 266804.7692179431 189834.81682165523]"
973,0,"[3178357.984896714 2589485.7768930993 809443.53936304 2400422.6709514484
 2216240.0617835526 1743409.859463832]","[2153867.6027592532 1746744.924718715 2748349.3278913605
 1832209.4044973038 1874359.2390888717 1620450.1171726026]"
974,LOC100910040,"[241089.67229114723 182373.65732860248 69755.0309041354 128403.84604585101
 205.36 99871.72227773051]","[91665.56722867719 176980.54375217875 233304.96865730363
 159997.53040916283 117795.68304151241 104792.53184749285]"
975,Arpc2,"[205.36 97326.312633846 205.36 51568.6491372653 77483.84698084998
 74321.91115174767]","[49193.45790418244 72218.35817245736 43735.87460170689 54405.52616513091
 50884.10412652425 71991.23116420873]"
