Source	Interaction	Arrow	Arrow_Type	Dashes	Color	Target
hsa:1605	binding/association	False	NA	False	black	hsa:1756
hsa:5566	activation	True	arrow	False	black	hsa:396
hsa:50943	binding/association	False	NA	False	black	hsa:861
hsa:27040	binding/association	False	NA	False	black	hsa:9402
C02939	reaction	True	arrow	False	blue	hsa:1629
hsa:1816	activation	True	arrow	False	black	hsa:2774
hsa:4772	expression	True	arrow	False	black	hsa:4625
hsa:4055	activation	True	arrow	False	black	hsa:9020
hsa:102723407	binding/association	False	NA	False	black	hsa:2209
C00899	reaction	True	arrow	False	blue	hsa:9227
hsa:2735	activation	True	arrow	False	black	hsa:5727
hsa:2774	activation	True	arrow	False	black	hsa:111
hsa:5335	compound	True	arrow	False	blue	hsa:3708
hsa:51102	reaction	True	arrow	False	blue	C05276
hsa:5578	activation	True	arrow	False	black	hsa:6548
hsa:102724788	reaction	True	arrow	False	blue	C00148
hsa:1646	reaction	True	arrow	False	blue	C13713
hsa:217	reaction	True	arrow	False	blue	C00637
hsa:5578	phosphorylation	True	circle	True	black	hsa:22800
C14771	reaction	True	arrow	False	blue	hsa:1555
C04043	reaction	True	arrow	False	blue	hsa:218
hsa:169355	reaction	True	arrow	False	blue	C01598
hsa:406953	inhibition	True	circle	False	black	hsa:3845
hsa:6714	activation	True	arrow	False	black	hsa:10498
hsa:1956	activation	True	arrow	False	black	hsa:3716
C00483	reaction	True	arrow	False	blue	hsa:314
hsa:132	reaction	True	arrow	False	blue	C00020
hsa:132158	reaction	True	arrow	False	blue	C00258
hsa:4544	activation	True	arrow	False	black	hsa:10681
C00473	reaction	True	arrow	False	blue	hsa:1592
C04620	reaction	True	arrow	False	blue	hsa:2194
hsa:64841	reaction	True	arrow	False	blue	C00357
hsa:10797	reaction	True	arrow	False	blue	C00234
hsa:2147	activation	True	arrow	False	black	hsa:2149
hsa:5594	expression	True	arrow	False	black	hsa:2353
hsa:7498	reaction	True	arrow	False	blue	C16613
C14768	reaction	True	arrow	False	blue	hsa:1555
hsa:5594	expression	True	arrow	False	black	hsa:2277
hsa:4087	expression	True	arrow	False	black	hsa:1277
hsa:8705	reaction	True	arrow	False	blue	G00114
C00636	reaction	True	arrow	False	blue	hsa:29925
C00555	reaction	True	arrow	False	blue	hsa:217
hsa:7514	binding/association	False	NA	False	black	hsa:11097
hsa:3283	reaction	True	arrow	False	blue	C03205
hsa:3712	reaction	True	arrow	False	blue	C03069
hsa:5879	activation	True	arrow	False	black	hsa:1432
hsa:383	reaction	True	arrow	False	blue	C00077
C01194	reaction	True	arrow	False	blue	hsa:113026
C00137	reaction	True	arrow	False	blue	hsa:10423
hsa:5290	indirect effect	True	arrow	True	black	hsa:5879
C16331	reaction	True	arrow	False	blue	hsa:30
hsa:146433	activation	True	arrow	False	black	hsa:1436
hsa:80380	activation	True	arrow	False	black	hsa:5133
C00024	reaction	True	arrow	False	blue	hsa:1737
C00355	reaction	True	arrow	False	blue	hsa:7054
hsa:1610	reaction	True	arrow	False	blue	C03771
hsa:2673	reaction	True	arrow	False	blue	C05345
hsa:135	activation	True	arrow	False	black	hsa:2774
hsa:8741	activation	True	arrow	False	black	hsa:23495
hsa:2885	activation	True	arrow	False	black	hsa:3265
hsa:25945	activation	True	arrow	False	black	hsa:56288
hsa:15	reaction	True	arrow	False	blue	C00978
C00233	reaction	True	arrow	False	blue	hsa:593
hsa:1003	binding/association	False	NA	False	black	hsa:1500
hsa:5566	expression	True	arrow	False	black	hsa:4929
hsa:1543	reaction	True	arrow	False	blue	C19559
hsa:10284	binding/association	False	NA	False	black	hsa:10921
hsa:406937	inhibition	True	circle	False	black	hsa:1956
hsa:27232	reaction	True	arrow	False	blue	C00037
hsa:10005	reaction	True	arrow	False	blue	C00695
C02686	reaction	True	arrow	False	blue	hsa:410
hsa:7430	binding/association	False	NA	False	black	hsa:60
hsa:2695	activation	True	arrow	False	black	hsa:139760
hsa:5819	activation	True	arrow	False	black	hsa:10666
hsa:3292	reaction	True	arrow	False	blue	C05300
hsa:6778	expression	True	arrow	False	black	hsa:3586
hsa:5879	activation	True	arrow	False	black	hsa:7454
G13038	reaction	True	arrow	False	blue	hsa:4669
hsa:100506012	inhibition	True	circle	False	black	hsa:4217
